Symbol,Name,Industry,Sector,EPS,P / E,ROE,ROIC,ROA,Interest cover,PEG Ratio,Last,Avg Vol,Volume
BEKB.BR,Bekaert S.A. N.V.,Metal Fabrication,Industrials,4.55,7.42,10.98,7.93,5.77,7.85,1.09,33.90,60120,48175
2119.HK,Tsit Wing International Holdings Ltd,Beverages - Non-Alcoholic,Consumer Defensive,0.08,7.25,11.03,12.24,8.47,35.53,,0.57,183488,298000
0411.HK,Lam Soon (Hong Kong) Ltd,Packaged Foods,Consumer Defensive,1.10,9.27,8.85,17.56,7.15,935,,10.20,5988.81,1000
PHPPY,Signify N.V. ADR,Electrical Equipment & Parts,Industrials,1.46,7.40,11.22,7.03,4.25,3.81,4.66,10.8100,751.38,302
IRI.AX,Integrated Research Ltd,Software - Application,Technology,0.12,3.54,24.49,18.83,18.70,148,,0.425,180517,62564
6198.HK,Qingdao Port International Co Ltd,Marine Shipping,Industrials,0.86,6.51,12.58,9.29,8.47,39.22,0.97,5.60,6778632,6246000
OMU.L,Old Mutual Ltd,Financial Conglomerates,Financial Services,7.00,6.53,13.35,0.92,0.65,10.02,0.23,46.00,488982,38127
MBAP.JK,Mitrabara Adiperdana,Thermal Coal,Energy,270,6.58,10.78,17.03,8.41,67.08,,1775.00,414481,1210800
INDB.MI,Indel B S.p.A.,Auto Parts,Consumer Cyclical,1.96,9.69,8.61,6.24,4.84,9.79,3.55,19.00,1262.05,917
ITMG.JK,Indo Tambangraya Megah,Thermal Coal,Energy,5565,3.95,20.66,30.97,16.41,136,0.10,22000,2749986,1871400
6340.T,Shibuya Corp,Specialty Industrial Machinery,Industrials,415,7.47,11.60,12.10,7.28,481,2.36,3090.00,33671,15700
INTP.JK,Indocement Tunggal Prakarsa,Building Materials,Basic Materials,592,9.04,9.44,7.91,6.92,12.87,1.46,5350.00,3580160,3297600
6038.HK,G&M Holdings Ltd,Engineering & Construction,Industrials,0.04,5.58,14.16,39.07,8.86,107,0.29,0.22,999528,340000
