Symbol,Name,Industry,Sector,EPS,P / E,ROE,ROIC,ROA,Interest cover,PEG Ratio,Last,Avg Vol,Volume
AALI.JK,Astra Agro Lestari,Farm Products,Consumer Defensive,596,9.98,5.15,4.65,3.93,6.52,1.21,5950.00,608425,809000
4246.T,DaikyoNishikawa Corp,Auto Parts,Consumer Cyclical,60.98,9.25,5.28,5.12,2.64,5.86,,566.00,170467,61200
0746.HK,Lee & Man Chemical Co Ltd,Chemicals,Basic Materials,0.59,5.93,8.19,7.48,6.78,26.87,,3.49,266571,408000
YUEIY,Yue Yuen Industrial (Holdings) Ltd ADR,Footwear & Accessories,Consumer Cyclical,1.22,5.98,9.10,6.32,5.37,7.51,1.40,7.2500,8112.62,832
200512.SZ,Tsann Kuen (China) Enterprise Co Ltd B,Furnishings Fixtures & Appliances,Consumer Cyclical,0.42,7.60,6.72,6.09,2.81,3.84,,3.19,162601,82000
5018.T,Moresco Corp,Specialty Chemicals,Basic Materials,140,8.37,6.35,3.65,3.56,28.50,,1173.00,13014,1400
EXE.PA,Exel Industries S.A.,Farm & Heavy Construction Machinery,Industrials,4.60,7.70,6.96,5.69,3.37,6.03,0.23,35.30,796.9,665
0551.HK,Yue Yuen Industrial (Holdings) Ltd,Footwear & Accessories,Consumer Cyclical,1.89,5.86,9.10,6.32,5.37,7.51,1.43,11.14,6736959,2174663
1899.T,Fukuda Corp,Engineering & Construction,Industrials,642,8.11,6.48,8.24,3.74,319,,5310.00,9885.71,4500
0240.HK,Build King Holdings Ltd,Engineering & Construction,Industrials,0.35,3.23,17.46,10.38,5.31,34.27,0.79,1.13,464450,320000
0098.HK,Xingfa Aluminium Holdings Ltd,Aluminum,Basic Materials,2.10,3.72,14.77,13.52,5.91,10.10,1.25,7.66,60000,64000
7439.KL,Teck Guan Perdana Bhd,Packaged Foods,Consumer Defensive,0.53,3.23,17.58,19.51,11.76,15.94,0.17,1.74,18033,2100
0054.KL,Karyon Industries Bhd,Specialty Chemicals,Basic Materials,0.02,7.25,6.91,9.01,5.57,33.20,1.39,0.145,200974,104000
COMCL.BO,Comfort Commotrade Ltd,Capital Markets,Financial Services,15.33,2.16,32.75,28.89,24.05,25.07,,33.10,7421.52,6986
0146.HK,Tai Ping Carpets International Ltd,Textile Manufacturing,Consumer Cyclical,0.20,5.95,9.30,5.90,5.08,9.37,,1.19,35048,67000
EXCOF,Exco Technologies Ltd,Auto Parts,Consumer Cyclical,0.52,7.62,7.41,6.63,4.67,6.14,0.83,3.9600,1171.24,500
S56.SI,Samudera Shipping Line Ltd,Marine Shipping,Industrials,0.17,4.85,12.76,14.44,7.86,5.32,0.08,0.830,1346224,728200
200581.SZ,Weifu High-Technology Group Co Ltd B,Auto Parts,Consumer Cyclical,1.61,7.57,8.45,3.14,5.90,22.71,,12.18,424842,231517
XTC.TO,Exco Technologies Ltd,Auto Parts,Consumer Cyclical,0.72,8.25,7.41,6.63,4.67,6.14,0.87,5.94,23762,31585
5026.KL,MHC Plantations Bhd,Farm Products,Consumer Defensive,0.15,6.47,8.80,7.25,3.85,23.74,0.53,0.97,391114,18400
ELFIF,E-L Financial Corp Ltd,Insurance - Life,Financial Services,306,3.19,20.02,6.69,5.84,82.92,,975.0505,98.48,10
ELF.TO,E-L Financial Corp Ltd,Insurance - Life,Financial Services,425,3.24,20.01,6.69,5.84,82.59,,1375.00,835.29,712
564.SI,Spindex Industries Ltd,Tools & Accessories,Industrials,0.14,6.18,9.66,11.19,7.26,121,1.68,0.870,31152,9400
0552.HK,China Communications Services Corp Ltd,Telecom Services,Communication Services,0.55,7.31,8.17,6.34,2.78,26.23,,4.05,15502962,13309000
AYN.SI,Global Testing Corp Ltd,Semiconductor Equipment & Materials,Technology,0.20,5.55,11.24,17.25,9.13,431,0.42,1.110,19695,14600
5MZ.SI,Kingsmen Creatives Ltd,Consulting Services,Industrials,0.07,5.29,11.67,17.55,4.95,20.13,0.23,0.375,62014,153500
MAGN.ME,Magnitogorsk Iron & Steel Works,Steel,Basic Materials,10.59,3.10,19.82,20.24,14.39,24.86,0.32,32.82,10299660,43803628
UNIC.JK,Unggul Indah Cahaya,Chemicals,Basic Materials,911,8.04,7.32,9.11,6.19,53.55,1.06,7325.00,2014.29,12900
5715.T,Furukawa Co Ltd,Other Industrial Metals & Mining,Basic Materials,409,5.07,11.81,2.75,5.78,31.65,0.75,2074.00,138805,113900
4611.T,Dai Nippon Toryo Co Ltd,Specialty Chemicals,Basic Materials,195,6.41,9.42,4.55,5.51,69.41,3.22,1250.00,69052,27200
1556.HK,Chinney Kin Wing Holdings Ltd,Engineering & Construction,Industrials,0.08,4.06,16.88,14.53,6.71,1323,0.37,0.32,1353094,455000
2062.KL,Harbour-Link Group Bhd,Integrated Freight & Logistics,Industrials,0.27,4.74,13.21,20.83,9.02,52.56,0.16,1.28,133036,51400
PXGYF,Pax Global Technology Ltd,Business Equipment & Supplies,Industrials,0.08,7.70,9.48,14.87,7.77,157,1.46,0.6159,24755,6050
ASGR.JK,Astra Graphia,Specialty Business Services,Industrials,152,5.77,11.05,15.94,7.55,65.30,1.29,875.00,846156,2678400
3369.HK,Qinhuangdao Port Co Ltd,Marine Shipping,Industrials,0.30,7.23,8.24,4.49,5.54,8.31,,2.15,1856208,306500
2663.HK,KPa-BM Holdings Ltd,Engineering & Construction,Industrials,0.08,3.75,16.96,18.35,9.41,18.35,0.68,0.285,215713,330000
WEHB.BR,Wereldhave Belgium C.V.A. S.C.A.,REIT - Retail,Real Estate,8.09,6.17,10.07,4.75,6.93,3.19,,49.80,3849.43,1023
SHREYANIND.NS,Shreyans Industries Ltd,Paper & Paper Products,Basic Materials,34.03,5.20,12.51,10.80,8.46,11.46,0.40,177.04,8521.81,7476
1A1.SI,Wong Fong Industries Ltd,Farm & Heavy Construction Machinery,Industrials,0.02,7.40,6.58,10.62,4.59,16.53,1.67,0.158,19648,22000
2168.T,Pasona Group Inc,Staffing & Employment Services,Industrials,2309,0.94,72.45,0.46,32.12,2.30,,2157.00,172452,138700
ENRGA.PR,Energoaqua a.s.,Utilities - Diversified,Utilities,500,6.64,9.58,6.91,8.12,1242,0.99,3320.00,21.9,15
CLPI.JK,Colorpak Indonesia,Specialty Chemicals,Basic Materials,183,6.42,10.03,13.02,6.95,12.90,1.40,1175.00,272993,226000
PCFBY,Pacific Basin Shipping Ltd ADR,Marine Shipping,Industrials,0.49,8.65,7.28,6.30,5.44,5.47,,4.4900,4002.29,332
EXXAF,Exxaro Resources Ltd,Thermal Coal,Energy,1.69,4.53,14.74,8.29,8.36,5.57,0.41,7.6500,1305.61,700
MISHTANN.BO,Mishtann Foods Ltd,Farm Products,Consumer Defensive,3.22,1.43,63.09,55.45,54.68,153,0.02,4.61,1870993,384504
1827.T,Nakano Corp,Engineering & Construction,Industrials,99.11,7.67,8.29,7.50,4.33,233,,759.00,188524,192600
6491.KL,Kumpulan Fima Bhd,Conglomerates,Industrials,0.39,5.82,11.14,9.80,6.13,9.19,0.51,2.28,107167,15300
3443.T,Kawada Technologies Inc,Engineering & Construction,Industrials,669,4.76,13.93,7.51,7.03,26.81,2.80,3190.00,98710,57300
2343.HK,Pacific Basin Shipping Ltd,Marine Shipping,Industrials,0.19,9.16,7.27,6.29,5.44,5.47,,1.74,29608598,15958000
T12.SI,Tat Seng Packaging Group Ltd,Packaging & Containers,Consumer Cyclical,0.12,6.83,9.53,9.79,5.78,15.37,13.78,0.815,28343,100
SHREYANIND.BO,Shreyans Industries Ltd,Paper & Paper Products,Basic Materials,34.02,5.52,12.51,10.80,8.46,11.46,0.43,187.90,958.57,581
1397.HK,Baguio Green Group Ltd,Waste Management,Industrials,0.13,4.85,13.95,6.79,5.39,6.47,0.30,0.64,164190,80000
MTLA.JK,Metropolitan Land,Real Estate Services,Real Estate,61.28,7.18,9.55,8.90,6.39,279,1.65,438.00,3022674,15400
9199.KL,Lysaght Galvanized Steel Bhd,Steel,Basic Materials,0.31,8.52,7.05,12.39,6.72,404,0.51,2.64,6828.57,1000
OCCL.BO,Oriental Carbon & Chemicals Ltd.,Chemicals,Basic Materials,41.92,4.08,4.47,9.02,3.26,7.17,,171.00,1830.86,1187
0327.HK,Pax Global Technology Ltd,Business Equipment & Supplies,Industrials,0.66,7.02,9.48,14.87,7.77,157,1.55,4.67,1924204,1227868
IBG.MC,Iberpapel Gestion S.A.,Paper & Paper Products,Basic Materials,2.12,9.67,7.01,8.26,5.77,108,0.60,20.40,11574,7224
CAI.MI,Cairo Communication S.p.A.,Publishing,Communication Services,0.34,8.43,8.19,6.00,2.84,11.40,1.69,2.88,538471,282746
OCCL.NS,Oriental Carbon & Chemicals Ltd,Chemicals,Basic Materials,41.93,4.08,4.47,9.02,3.26,7.17,,171.28,14083,6340
RALS.JK,Ramayana Lestari Sentosa,Department Stores,Consumer Cyclical,52.92,7.97,8.80,8.95,6.51,5.91,0.73,422.00,8834053,28611100
5125.KL,Pantech Group Holdings Bhd,Steel,Basic Materials,0.12,6.08,10.83,11.20,7.78,11.59,0.35,0.73,1484711,3820900
ADOOY,Alamtri Resources Indonesia ADR,Thermal Coal,Energy,0.93,6.14,20.62,8.31,14.14,16.76,0.27,5.4700,3260.19,2412
1982.HK,Nameson Holdings Ltd,Apparel Manufacturing,Consumer Cyclical,0.16,4.60,14.95,11.76,7.90,7.62,,0.76,1990335,720000
FLK.L,Fletcher King Plc,Real Estate Services,Real Estate,3.00,9.50,7.01,15.18,5.45,29.92,,25.00,9601.86,635
