Symbol,Name,Industry,Sector,EPS,P / E,ROE,ROIC,ROA,Interest cover,PEG Ratio,Last,Avg Vol,Volume
MRKP.ME,Rosseti Centre & Volga Region,Utilities - Regulated Electric,Utilities,0.12,2.98,17.15,9.63,8.89,5.20,0.30,0.3695,77264360,59651920
G0I.SI,Nam Lee Pressed Metal Industries Ltd,Metal Fabrication,Industrials,0.05,6.80,7.75,7.15,5.51,8.03,,0.350,368575,646600
VINDHYATEL.NS,Vindhya Telelinks Ltd,Engineering & Construction,Industrials,195,8.65,5.83,3.09,3.42,3.19,,1684.50,14825,6525
1724.T,Synclayer Inc,Communication Equipment,Technology,97.17,6.31,8.04,5.19,4.40,77.86,,616.00,7700,300
7246.T,Press Kogyo Co Ltd,Auto Parts,Consumer Cyclical,70.10,8.09,6.55,6.61,3.73,29.84,1.06,567.00,296541,115600
PARXF,Parex Resources Inc,Oil & Gas E&P,Energy,2.54,3.76,13.63,15.74,11.31,209,0.19,9.5400,17704,76174
BPF.SI,YHI International Ltd,Auto Parts,Consumer Cyclical,0.05,9.60,4.84,2.73,3.43,3.49,3.85,0.480,8119.05,2500
GDL.TO,Goodfellow Inc,Lumber & Wood Production,Basic Materials,1.54,8.00,6.69,6.67,4.76,12.39,0.20,12.30,3948.86,3925
2348.HK,Dawnrays Pharmaceutical (Holdings) Ltd,Drug Manufacturers - Specialty & Generic,Healthcare,0.40,3.00,18.76,15.08,14.93,114,0.82,1.20,169096,24000
4246.T,DaikyoNishikawa Corp,Auto Parts,Consumer Cyclical,85.58,7.47,7.46,6.57,3.67,6.86,,634.00,95467,30200
3983.HK,China BlueChemical Ltd,Agricultural Inputs,Basic Materials,0.32,6.81,7.50,10.46,5.61,25.91,1.28,2.18,3299952,1466076
VALUE.AS,Value8 N.V.,Asset Management,Financial Services,1.28,4.53,12.82,15.69,11.49,21.49,,5.80,3372.33,4123
VINDHYATEL.BO,Vindhya Telelinks Ltd,Engineering & Construction,Industrials,195,8.71,5.83,3.09,3.42,3.19,,1697.50,1674.38,1094
8273.KL,Public Packages Holdings Bhd,Packaging & Containers,Consumer Cyclical,0.20,3.95,13.11,18.67,11.98,77.71,0.33,0.80,253074,63100
APEMY,Aperam S.A. ADR,Steel,Basic Materials,4.13,6.54,8.68,-13.08,5.37,3.49,0.85,27.0000,607.86,100
5191.KL,Tambun Indah Land Bhd,Real Estate - Diversified,Real Estate,0.11,8.27,6.22,6.53,5.33,17.72,28.24,0.91,85638,79300
7162.KL,Astino Bhd,Building Materials,Basic Materials,0.07,8.64,6.44,6.35,5.82,48.00,1.41,0.605,134090,2200
5199.KL,Hibiscus Petroleum Bhd,Oil & Gas E&P,Energy,0.49,3.76,13.33,19.19,6.12,11.93,0.11,1.84,1931004,846800
CMHHY,China Merchants Ports Holdings Co Ltd ADR,Marine Shipping,Industrials,2.25,7.42,7.18,2.28,4.33,2.31,6.15,16.7000,279,433
