Symbol,Name,Industry,Sector,EPS,P / E,ROE,ROIC,ROA,Interest cover,PEG Ratio,Last,Avg Vol,Volume
1263.HK,PC Partner Group Ltd,Computer Hardware,Technology,0.61,8.64,8.36,12.53,4.47,6.94,0.47,5.27,1328537,2036000
PANS.JK,Panin Sekuritas,Capital Markets,Financial Services,202,7.98,9.50,5.08,6.30,15.36,1.70,1615.00,47809,71900
SHREYANIND.NS,Shreyans Industries Ltd,Paper & Paper Products,Basic Materials,42.54,4.79,15.63,10.50,10.58,10.96,0.51,203.61,8323.43,2528
0316.HK,Orient Overseas (International) Ltd,Marine Shipping,Industrials,12.62,8.25,9.27,6.17,6.66,27.53,0.16,104.10,1211453,437900
1982.HK,Nameson Holdings Ltd,Apparel Manufacturing,Consumer Cyclical,0.16,5.25,14.95,11.76,7.90,7.62,,0.84,800756,168000
OROVY,Orient Overseas (International) Ltd ADR,Marine Shipping,Industrials,8.10,8.47,9.28,6.17,6.66,27.53,0.16,68.5900,349.33,1909
FBBPF,ProLogis Property Mexico S.A. de C.V.,REIT - Industrial,Real Estate,0.65,4.98,23.77,2.86,18.80,3.56,0.15,3.1500,9013.43,1575
GUJTLRM.BO,Gujarat Toolroom Ltd,Residential Construction,Consumer Cyclical,13.24,0.85,324,307,64.81,6806,,11.32,9384583,5121490
MAITHANALL.BO,Maithan Alloys Ltd,Steel,Basic Materials,284,3.39,25.40,4.89,21.86,11.04,0.30,974.30,3138,3562
B26.SI,Ban Leong Technologies Ltd,Electronics & Computer Distribution,Technology,0.07,4.57,16.74,14.47,9.04,50.69,0.30,0.320,18957,49800
MAITHANALL.NS,Maithan Alloys Ltd,Steel,Basic Materials,284,3.42,25.40,4.89,21.86,11.04,0.30,971.05,36707,18049
OCCL.NS,Oriental Carbon & Chemicals Ltd,Chemicals,Basic Materials,41.88,4.94,5.69,4.71,4.15,9.18,,207.09,15924,13050
7270.T,Subaru Corp,Auto Manufacturers,Consumer Cyclical,530,5.19,16.26,15.53,8.67,4.69,0.38,2711.50,2575600,869000
WIIM.JK,Wismilak Inti Makmur,Tobacco,Consumer Defensive,125,5.22,14.22,15.77,9.71,54.45,0.10,655.00,1111979,2446100
9101.T,Nippon Yusen K.K.,Marine Shipping,Industrials,829,5.81,14.38,4.43,9.27,10.08,0.12,4860.00,4621243,1618200
TWC.TO,TWC Enterprises Ltd,Leisure,Consumer Cyclical,2.03,8.63,9.20,3.37,6.86,4.18,1.69,17.50,1277.52,201
SFFYF,Signify N.V.,Electrical Equipment & Parts,Industrials,2.68,7.57,11.22,7.03,4.25,3.81,2.39,20.3000,683.81,500
TNK,Teekay Tankers Ltd,Oil & Gas Midstream,Energy,12.18,3.44,26.21,27.64,22.73,36.14,,41.92,511903,353622
TNK.IX,Teekay Tankers Ltd,Oil & Gas Midstream,Energy,12.18,3.44,26.21,27.64,22.73,36.14,,41.92,430789,285115
VANL.L,Van Elle Holdings Plc,Engineering & Construction,Industrials,4.00,9.38,8.22,6.84,4.46,14.47,0.63,37.80,444199,261343
2877.HK,China Shineway Pharmaceutical Group Ltd,Drug Manufacturers - Specialty & Generic,Healthcare,1.56,5.31,15.72,32.76,11.64,175,0.43,8.28,1140459,126000
RUCHIRA.NS,Ruchira Papers Ltd,Paper & Paper Products,Basic Materials,16.51,7.25,11.66,9.46,8.92,20.54,0.91,119.69,24282,12347
1705.HK,B&S International Holdings Ltd,Food Distribution,Consumer Defensive,0.07,4.79,16.26,16.97,9.84,8.49,0.43,0.335,63610,8000
IRI.AX,Integrated Research Ltd,Software - Application,Technology,0.15,2.70,37.10,37.00,27.07,263,,0.42,274339,19219
OCCL.BO,Oriental Carbon & Chemicals Ltd.,Chemicals,Basic Materials,41.89,4.95,5.69,4.71,4.15,9.18,,207.20,2077.1,4932
4659.T,Ajis Co Ltd,Specialty Business Services,Industrials,243,9.37,8.92,20.30,7.46,738,,2327.00,9033.33,11000
2119.HK,Tsit Wing International Holdings Ltd,Beverages - Non-Alcoholic,Consumer Defensive,0.09,6.33,11.24,13.11,8.92,47.42,,0.57,112961,22000
RUCHIRA.BO,Ruchira Papers Ltd,Paper & Paper Products,Basic Materials,16.51,7.32,11.66,9.46,8.92,20.54,0.93,120.85,3626.33,625
0551.HK,Yue Yuen Industrial (Holdings) Ltd,Footwear & Accessories,Consumer Cyclical,2.27,7.28,11.17,9.50,6.41,9.26,6.25,16.52,2171294,623528
ELPQF,El Puerto de Liverpool S.A.B. de C.V. Series C1,Department Stores,Consumer Cyclical,0.81,6.09,14.88,11.47,8.67,7.69,0.42,4.9335,2378,1200
1666.HK,Tong Ren Tang Technologies Co Ltd,Drug Manufacturers - General,Healthcare,0.54,9.04,9.39,13.16,4.75,19.84,2.13,4.88,916763,411000
MFE2.VI,MFE-MediaForEurope N.V. Cl B,Broadcasting,Communication Services,0.42,9.95,8.28,5.56,4.64,10.72,,4.23,0,0
2663.HK,KPa-BM Holdings Ltd,Engineering & Construction,Industrials,0.08,5.12,16.96,18.35,9.41,18.35,0.92,0.41,212379,230000
CICOY,COSCO SHIPPING Holdings Co Ltd ADR,Marine Shipping,Industrials,1.72,4.23,19.92,12.02,8.56,14.31,0.08,7.5250,2011.57,1057
1919.HK,COSCO SHIPPING Holdings Co Ltd,Marine Shipping,Industrials,2.67,4.38,19.87,11.99,8.54,14.29,0.08,11.70,24588202,6499900
CICOF,COSCO SHIPPING Holdings Co Ltd,Marine Shipping,Industrials,0.34,4.44,19.92,12.02,8.56,14.31,0.08,1.5100,44380,100
5159.KL,Yoong Onn Corp Bhd,Textile Manufacturing,Consumer Cyclical,0.19,9.11,9.65,13.04,8.21,24.89,0.60,1.73,19900,16100
1716.T,Dai-Ichi Cutter Kogyo K.K.,Engineering & Construction,Industrials,174,7.78,11.44,15.68,9.30,1697,0.91,1337.00,12210,2500
2683.HK,Wah Sun Handbags International Holdings Ltd,Footwear & Accessories,Consumer Cyclical,0.09,6.11,13.01,18.14,8.59,9.67,,0.55,524577,320000
5542.T,Shinhokoku Material Corp,Steel,Basic Materials,81.63,8.40,10.53,11.98,6.97,106,,692.00,7480.95,3000
0012.KL,Three-A Resources Bhd,Packaged Foods,Consumer Defensive,0.09,8.89,9.49,9.53,8.48,253,0.88,0.82,219277,2500
EPMT.JK,Enseval Putera Megatrading,Medical Distribution,Healthcare,271,8.45,10.10,10.18,6.49,66.53,2.01,2310.00,19929,800
0150.HK,Hypebeast Ltd,Internet Content & Information,Communication Services,0.03,6.40,11.28,13.31,8.52,20.11,,0.192,1502127,36400
ILU.AX,Iluka Resources Ltd,Other Industrial Metals & Mining,Basic Materials,0.63,7.11,12.65,9.30,8.28,36.72,0.41,4.45,2225528,1038574
ILKAY,Iluka Resources Ltd ADR,Other Industrial Metals & Mining,Basic Materials,1.97,7.11,12.63,9.28,8.26,36.74,0.44,14.0000,474,585
ILKAF,Iluka Resources Ltd,Other Industrial Metals & Mining,Basic Materials,0.39,7.21,12.63,9.28,8.26,36.74,0.44,2.8100,946,1000
SQZ.L,Serica Energy Plc,Oil & Gas E&P,Energy,20.10,7.03,13.16,10.75,6.86,11.99,0.14,140.50,1301857,1623421
0868.HK,Xinyi Glass Holdings Ltd,Building Materials,Basic Materials,1.42,5.06,17.30,11.15,11.62,16.39,0.69,7.19,9228722,1957276
3934.T,Benefit Japan Co Ltd,Telecom Services,Communication Services,108,9.22,10.21,8.37,6.58,116,2.25,1045.00,2400,4700
XNYIF,Xinyi Solar Holdings Ltd,Solar,Technology,0.07,5.58,15.39,11.94,8.12,15.25,0.39,0.3905,1668.9,100
XYIGF,Xinyi Glass Holdings Ltd,Building Materials,Basic Materials,0.18,5.17,17.32,11.16,11.64,16.39,0.70,0.9300,1915.19,839
YUEIY,Yue Yuen Industrial (Holdings) Ltd ADR,Footwear & Accessories,Consumer Cyclical,1.46,7.24,11.18,9.51,6.42,9.26,6.59,10.5600,3958.52,2448
ANDHRAPAP.NS,Andhra Paper Ltd,Paper & Paper Products,Basic Materials,9.57,8.92,10.21,9.23,7.81,22.50,0.63,85.35,148092,93289
ANDHRAPAP.BO,Andhra Paper Ltd,Paper & Paper Products,Basic Materials,9.57,9.09,10.21,9.23,7.81,22.50,0.64,87.00,13767,14236
600741.SS,Huayu Automotive Systems Co Ltd,Auto Parts,Consumer Cyclical,2.20,7.64,11.98,7.24,3.94,28.25,19.05,16.80,13380669,9561978
6198.HK,Qingdao Port International Co Ltd,Marine Shipping,Industrials,0.85,7.11,12.83,9.20,8.40,61.24,1.06,6.04,4851418,779000
XYIGY,Xinyi Glass Holdings Ltd ADR,Building Materials,Basic Materials,3.63,5.08,17.32,11.16,11.64,16.39,0.73,18.6800,1923.57,818
CGS.L,Castings Plc,Specialty Industrial Machinery,Industrials,28.00,9.30,9.35,9.76,7.21,369,1.68,260.50,12655,14473
G14.DE,Signify N.V.,Electrical Equipment & Parts,Industrials,2.57,8.21,11.25,7.05,4.26,3.82,2.17,20.90,249.57,556
PTAIY,Astra International ADR,Conglomerates,Industrials,1.03,5.65,16.98,9.61,7.45,10.94,0.54,5.9860,73488,32059
0968.HK,Xinyi Solar Holdings Ltd,Solar,Technology,0.53,6.02,15.38,11.93,8.11,15.25,0.40,3.19,48275668,10037017
LGHT.VI,Signify N.V.,Electrical Equipment & Parts,Industrials,2.57,8.26,11.25,7.05,4.26,3.82,2.39,21.06,27.43,0
0811.HK,Xinhua Winshare Publishing & Media Co Ltd,Publishing,Communication Services,1.33,8.15,11.41,15.37,6.80,110,0.71,10.84,1167116,37000
KKGI.JK,Resource Alam Indonesia,Thermal Coal,Energy,130,3.50,24.62,33.48,17.80,95.66,,454.00,2859429,6269100
SQZZF,Serica Energy Plc,Oil & Gas E&P,Energy,0.25,7.68,13.20,10.78,6.88,11.99,0.14,1.9200,2968,2000
PHPPY,Signify N.V. ADR,Electrical Equipment & Parts,Industrials,1.34,8.80,11.22,7.03,4.25,3.81,2.39,10.8800,1140.71,142
XISHY,Xinyi Solar Holdings Ltd ADR,Solar,Technology,1.37,5.96,15.39,11.94,8.12,15.25,0.40,8.1800,4711.67,7540
CAML.L,Central Asia Metals Plc,Copper,Basic Materials,17.02,8.85,10.60,10.36,8.81,32.28,,150.60,377246,288882
TOTO.JK,Surya Toto Indonesia,Building Products & Equipment,Industrials,24.94,8.74,10.75,8.41,7.72,15.00,1.10,218.00,368440,680200
MNSAF,Mineros S.A.,Gold,Basic Materials,0.29,4.45,24.59,23.12,16.64,16.47,0.24,1.2900,5135.33,30777
BHU.SI,SUTL Enterprise Ltd,Leisure,Consumer Cyclical,0.09,7.72,12.19,9.87,6.36,12.67,1.05,0.695,46924,141000
MISHTANN.BO,Mishtann Foods Ltd,Farm Products,Consumer Defensive,3.44,1.78,66.74,58.75,57.85,127,0.02,6.11,2436530,2811811
1979.HK,Ten Pao Group Holdings Ltd,Electrical Equipment & Parts,Industrials,0.36,4.28,22.89,16.10,9.04,57.43,0.22,1.54,258945,2272400
F9D.SI,Boustead Singapore Ltd,Conglomerates,Industrials,0.15,6.73,14.60,11.12,6.47,56.78,1.81,1.010,62510,43400
000581.SZ,Weifu High-Technology Group Co Ltd A,Auto Parts,Consumer Cyclical,1.83,9.92,9.23,3.71,6.42,22.74,,18.15,7964720,4794300
2111.HK,Best Pacific International Holdings Ltd,Textile Manufacturing,Consumer Cyclical,0.47,6.32,15.27,12.90,8.30,6.22,1.01,2.97,164572,32000
SHUR.BR,Shurgard Self Storage Ltd,REIT - Specialty,Real Estate,4.29,8.38,11.58,3.25,7.67,8.95,0.96,35.80,45469,77194
PWON.JK,Pakuwon Jati,Real Estate - Diversified,Real Estate,47.36,8.32,11.78,11.35,6.83,8.17,,394.00,27343302,28944800
